Player ID,PlayerName,ELONOWR,ELO,WR MODIFIER,STREAK MODIFIER,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,DELTAWR
38,Diukes,149.76,167.379,0.118,0.0,0.474,0.631,0.002,0.0,0.674,0.494,22.333,21,13,0,35.5,38.833,47.833,12.333,7.667,2.5,3.333,2.833,2.873,117.833,6,21,13,0,34,34,0.618,0.618,0.0
41,koroshiya,161.2,161.2,0.0,0.0,0.516,0.673,0.004,0.333,0.681,0.611,22.333,8,8,0,20.333,57.333,23.333,3.0,5.0,1.333,1.0,10.0,2.199,115.333,3,8,8,0,16,16,0.5,0.5,0.0
20,kar72,153.02,153.02,0.0,0.0,0.486,0.753,0.002,0.0,0.594,0.433,22.75,9,11,1,37.25,58.0,40.25,3.0,6.25,0.75,1.0,1.75,3.69,127.0,4,9,11,1,21,21,0.452,0.452,0.0
52,Thaleko,143.8,143.8,0.0,0.0,0.453,0.7,0.002,0.0,0.59,0.367,14.5,5,5,0,26.5,43.0,27.0,0.5,6.5,0.0,0.5,0.5,3.258,100.0,2,5,5,0,10,10,0.5,0.5,0.0
274,Mami,135.72,135.72,0.0,0.0,0.423,0.581,0.002,0.0,0.611,0.4,14.0,4,1,0,23.0,45.0,25.0,2.0,15.0,2.0,0.0,0.0,2.6,117.0,1,4,1,0,5,5,0.8,0.8,0.0
37,claydoll1091,132.01,132.01,0.0,0.0,0.409,0.49,0.003,0.0,0.66,0.433,12.0,8,3,0,15.5,41.5,15.5,0.0,6.5,0.0,0.0,7.5,3.114,116.5,2,8,3,0,11,11,0.727,0.727,0.0
33,Tsui,125.82,125.82,0.0,0.0,0.387,0.614,0.001,0.0,0.592,0.2,24.0,1,4,0,14.0,56.0,20.0,6.0,4.0,2.0,1.0,1.0,3.05,114.0,1,1,4,0,5,5,0.2,0.2,0.0
507,tmokenc,122.87,122.87,0.0,0.0,0.376,0.5,0.001,0.0,0.559,0.367,6.0,5,1,0,36.0,22.0,38.0,2.0,1.0,0.0,0.0,0.0,3.947,116.0,1,5,1,0,6,6,0.833,0.833,0.0
87,Beokros,122.72,122.72,0.0,0.0,0.375,0.525,0.001,0.5,0.583,0.3,12.5,8,3,1,42.5,24.0,50.5,8.0,8.0,0.0,3.0,0.5,3.351,129.5,2,8,3,1,12,12,0.708,0.708,0.0
318,Nephirea,122.52,122.52,0.0,0.0,0.375,0.559,0.001,0.0,0.591,0.233,12.0,3,2,0,28.0,29.0,28.0,0.0,4.0,0.0,0.0,1.0,3.929,102.0,1,3,2,0,5,5,0.6,0.6,0.0
149,Zozo,120.37,120.37,0.0,0.0,0.367,0.478,0.001,1.0,0.553,0.367,9.0,2,3,0,28.0,26.0,33.0,5.0,2.0,0.0,2.0,2.0,4.091,113.0,1,2,3,0,5,5,0.4,0.4,0.0
238,Progenitor,119.39,119.39,0.0,0.0,0.363,0.491,0.001,0.667,0.592,0.289,11.0,5,12,0,35.667,25.667,38.333,2.667,6.667,0.333,0.667,1.0,3.376,121.333,3,5,12,0,17,17,0.294,0.294,0.0
65,Baguett,118.69,118.69,0.0,0.0,0.36,0.512,0.001,0.0,0.602,0.233,7.0,3,2,0,18.0,24.0,19.0,1.0,4.0,0.0,1.0,0.0,3.579,82.0,1,3,2,0,5,5,0.6,0.6,0.0
191,redeyes,118.64,118.64,0.0,0.0,0.36,0.465,0.002,0.0,0.61,0.3,10.0,1,5,0,41.0,19.0,49.0,8.0,6.0,3.0,2.0,0.0,3.265,129.0,1,1,5,0,6,6,0.167,0.167,0.0
45,LeNainDuPSG,118.26,118.26,0.0,0.0,0.359,0.509,0.001,0.0,0.534,0.3,9.0,6,4,0,30.0,27.5,39.5,9.5,5.0,0.5,3.0,0.0,3.49,113.0,2,6,4,0,10,10,0.6,0.6,0.0
228,Dry,116.9,116.9,0.0,0.0,0.354,0.451,0.001,0.5,0.603,0.3,11.0,7,5,0,47.5,10.0,58.5,11.0,5.5,0.0,2.5,1.0,3.68,126.5,2,7,5,0,12,12,0.583,0.583,0.0
146,tapumomo,116.57,116.57,0.0,0.0,0.353,0.478,0.001,1.0,0.521,0.333,3.0,4,1,0,32.0,22.0,33.0,1.0,1.0,0.0,0.0,1.0,4.03,113.0,1,4,1,0,5,5,0.8,0.8,0.0
506,MaikaSasaki,116.45,116.45,0.0,0.0,0.352,0.364,0.002,0.0,0.67,0.367,14.0,5,1,0,31.0,17.0,35.0,4.0,4.0,0.0,0.0,0.0,3.229,132.0,1,5,1,0,6,6,0.833,0.833,0.0
112,Legitted,116.17,116.17,0.0,0.0,0.351,0.547,0.0,0.0,0.47,0.267,0.0,4,1,0,22.0,36.0,22.0,0.0,5.0,0.0,0.0,0.0,4.318,106.0,1,4,1,0,5,5,0.8,0.8,0.0
81,Pile,114.75,114.75,0.0,0.0,0.346,0.473,0.0,1.0,0.533,0.3,14.0,3,3,0,54.0,16.0,72.0,18.0,4.0,1.0,2.0,0.0,3.75,148.0,1,3,3,0,6,6,0.5,0.5,0.0
379,CipherKai,114.37,114.37,0.0,0.0,0.345,0.524,0.001,0.0,0.543,0.2,11.0,2,3,0,41.0,25.0,47.0,6.0,7.0,2.0,1.0,2.0,3.872,126.0,1,2,3,0,5,5,0.4,0.4,0.0
268,civiltwlight,112.03,112.03,0.0,0.0,0.336,0.457,0.001,0.0,0.612,0.2,19.0,3,2,0,18.0,35.0,22.0,4.0,5.0,2.0,0.0,0.0,2.818,116.0,1,3,2,0,5,5,0.6,0.6,0.0
289,Provenance,111.31,111.31,0.0,0.0,0.333,0.388,0.002,1.333,0.589,0.322,5.333,8,7,0,31.333,10.333,34.333,3.0,8.0,0.667,1.0,0.0,3.305,107.333,3,8,7,0,15,15,0.533,0.533,0.0
430,HaruUrara,110.71,110.71,0.0,0.0,0.331,0.434,0.001,1.0,0.559,0.267,9.5,5,5,0,26.0,23.5,28.5,2.5,4.5,0.5,0.5,0.5,3.422,114.0,2,5,5,0,10,10,0.5,0.5,0.0
311,beautiful,110.7,110.7,0.0,0.0,0.331,0.533,0.0,0.0,0.501,0.167,5.0,3,2,0,13.0,36.0,14.0,1.0,2.0,0.0,0.0,0.0,4.071,92.0,1,3,2,0,5,5,0.6,0.6,0.0
66,bamboo,109.92,109.92,0.0,0.0,0.328,0.417,0.001,0.5,0.607,0.233,9.0,1,10,0,20.0,25.5,20.0,0.0,8.0,0.0,0.0,0.0,3.25,106.0,2,1,10,0,11,11,0.091,0.091,0.0
98,Comete,109.14,109.14,0.0,0.0,0.325,0.416,0.0,0.333,0.552,0.278,6.333,6,11,0,24.333,27.333,30.333,6.0,5.667,0.333,1.0,0.0,3.59,121.0,3,6,11,0,17,17,0.353,0.353,0.0
121,Janoxx,96.83,108.471,0.12,0.0,0.28,0.274,0.001,1.667,0.623,0.228,5.667,20,12,1,18.0,14.667,18.833,0.833,6.333,0.167,0.167,0.167,3.118,118.667,6,20,12,1,33,33,0.621,0.621,0.0
330,_nadeshiko,108.21,108.21,0.0,0.0,0.322,0.427,0.001,0.0,0.596,0.2,3.0,3,2,0,11.0,24.0,14.0,3.0,6.0,1.0,2.0,1.0,2.929,82.0,1,3,2,0,5,5,0.6,0.6,0.0
326,pomo,106.79,106.79,0.0,0.0,0.317,0.36,0.002,0.0,0.629,0.25,7.5,7,3,0,25.5,10.0,31.0,5.5,7.0,1.5,1.0,0.5,3.14,96.5,2,7,3,0,10,10,0.7,0.7,0.0
119,Fumiii,106.19,106.19,0.0,0.0,0.315,0.437,0.0,0.0,0.545,0.2,17.0,3,2,1,46.0,20.0,46.0,0.0,4.0,0.0,0.0,0.0,3.674,151.0,1,3,2,1,6,6,0.583,0.583,0.0
344,Naizuri,106.08,106.08,0.0,0.0,0.314,0.364,0.001,0.0,0.56,0.3,4.0,3,2,0,27.0,12.0,31.0,4.0,3.0,0.0,1.0,0.0,3.645,107.0,1,3,2,0,5,5,0.6,0.6,0.0
46,Orfey,105.69,105.69,0.0,0.0,0.313,0.382,0.001,0.75,0.592,0.233,8.25,11,11,1,25.25,22.75,31.5,6.25,6.5,1.25,1.0,0.5,3.362,125.25,4,11,11,1,23,23,0.5,0.5,0.0
205,sssthnoob,105.01,105.01,0.0,0.0,0.31,0.375,0.001,1.0,0.559,0.267,5.0,3,3,0,34.0,11.0,44.0,10.0,6.0,1.0,1.0,0.0,3.477,120.0,1,3,3,0,6,6,0.5,0.5,0.0
157,CM02,103.92,103.92,0.0,0.0,0.306,0.28,0.001,0.0,0.66,0.3,10.0,5,1,0,29.0,8.0,32.0,3.0,6.0,2.0,0.0,1.0,3.031,132.0,1,5,1,0,6,6,0.833,0.833,0.0
376,qwecocacola,102.67,102.67,0.0,0.0,0.302,0.433,0.001,0.5,0.51,0.183,7.5,3,7,0,35.5,22.5,37.0,1.5,5.0,0.5,0.0,0.0,3.915,134.0,2,3,7,0,10,10,0.3,0.3,0.0
241,yasashiikumo,101.82,101.82,0.0,0.0,0.299,0.453,0.0,0.0,0.536,0.111,8.667,2,13,0,21.333,25.0,24.667,3.333,5.0,0.333,1.667,0.0,3.633,102.0,3,2,13,0,15,15,0.133,0.133,0.0
123,Konsumenci,100.91,100.91,0.0,0.0,0.295,0.278,0.002,0.0,0.646,0.267,2.0,4,1,0,18.0,7.0,21.0,3.0,9.0,1.0,1.0,0.0,3.048,90.0,1,4,1,0,5,5,0.8,0.8,0.0
176,Spitzell,99.95,99.95,0.0,0.0,0.292,0.417,0.0,0.0,0.54,0.133,14.0,2,4,0,32.0,13.0,32.0,0.0,2.0,0.0,0.0,0.0,4.312,108.0,1,2,4,0,6,6,0.333,0.333,0.0
